City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
637,Camalu,MX,78.01,clear sky,30.85,-116.0667,La Cueva del Pirata
638,Ugoofaaru,MV,83.53,overcast clouds,5.6667,73.0,Ungoofaaru Inn
640,Kupang,ID,77.05,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
641,Mana,GF,77.97,overcast clouds,5.6592,-53.7767,LE SAMANA
643,Tulagi,SB,83.19,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
645,Kuala Terengganu,MY,77.0,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
647,Nazca,PE,77.13,scattered clouds,-14.8333,-74.95,Casa Andina Standard Nasca
649,Mogadishu,SO,82.69,overcast clouds,2.0371,45.3438,Hotel Juba
651,Tres Picos,MX,87.78,clear sky,15.8667,-93.5333,HOTEL TRES PICOS
656,Lang Suan,TH,78.8,broken clouds,9.9456,99.0785,Langsuan Resort
659,Bela,IN,79.7,clear sky,25.9333,81.9833,Raj Bhawan
660,Lodwar,KE,83.37,broken clouds,3.1191,35.5973,Turkwel Lodge
664,Bima,ID,75.72,overcast clouds,-8.4667,118.7167,Lambitu Hotel
670,Nata,PA,82.4,broken clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
677,Oranjestad,AW,81.0,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
682,Moerai,PF,77.9,clear sky,-22.4333,-151.3333,Le Manotel
684,Kassala,SD,86.52,clear sky,15.451,36.4,Amassi Hotel Gash
685,Mandiana,GN,88.11,scattered clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
687,Hoi An,VN,77.0,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
