City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
279,Moshupa,BW,-24.7782,25.4155,51.8,76,0,3.44,clear sky
280,Port Lincoln,AU,-34.7333,135.8667,59.11,77,2,11.72,clear sky
281,Srednekolymsk,RU,67.45,153.6833,21.02,78,10,9.22,clear sky
282,Japura,ID,-0.3167,102.35,72.09,98,71,0.96,moderate rain
283,Kontagora,NG,10.3999,5.4695,86.09,41,99,6.15,overcast clouds
284,Leningradskiy,RU,69.3833,178.4167,31.59,71,37,6.58,scattered clouds
285,Nalut,LY,30.3333,10.85,60.19,26,7,9.8,clear sky
286,Eirunepe,BR,-6.6603,-69.8736,73.65,97,96,4.0,moderate rain
287,Salisbury,GB,51.0693,-1.7957,41.0,81,28,3.44,scattered clouds
288,Praia,CV,14.9215,-23.5087,69.8,78,20,19.57,few clouds
289,Zamora,EC,-4.0692,-78.9567,75.2,60,75,14.97,light rain
290,Guerrero Negro,MX,27.9769,-114.0611,66.83,62,2,18.12,clear sky
291,Kalanaur,IN,28.8333,76.4,76.5,32,19,4.18,few clouds
292,Isabela,PH,6.7085,121.9711,80.6,89,90,11.5,overcast clouds
293,Dhidhdhoo,MV,6.8833,73.1,83.82,71,87,6.49,overcast clouds
294,Kahta,TR,37.7855,38.6237,64.4,45,0,9.22,clear sky
295,Ancud,CL,-41.8697,-73.8203,55.4,100,90,14.97,light rain
296,Alofi,NU,-19.0595,-169.9187,80.6,78,36,8.05,scattered clouds
297,Edd,ER,13.9297,41.6925,86.31,39,59,16.02,broken clouds
298,Pitiquito,MX,30.7,-112.0833,82.0,14,0,8.01,clear sky
299,Puerto Gaitan,CO,4.3133,-72.0816,82.99,64,98,7.78,overcast clouds
300,Lorengau,PG,-2.0226,147.2712,81.68,77,100,10.36,overcast clouds
301,Inhambane,MZ,-23.865,35.3833,66.58,71,18,2.84,few clouds
302,Labuan,MY,5.2767,115.2417,78.8,78,20,4.61,few clouds
303,Port Blair,IN,11.6667,92.75,80.47,76,48,6.13,scattered clouds
304,Merauke,ID,-8.4667,140.3333,78.6,88,100,8.59,overcast clouds
305,Maltahohe,NA,-24.8333,16.9833,63.23,58,63,6.06,broken clouds
306,Lugovoy,KZ,42.9472,72.7644,50.67,53,48,11.5,scattered clouds
307,Kinablangan,PH,7.6947,126.5503,80.74,68,100,5.06,overcast clouds
308,Beloha,MG,-25.1667,45.05,64.83,72,0,14.12,clear sky
309,Aykhal,RU,66.0,111.5,-0.63,98,73,1.41,broken clouds
310,Bowral,AU,-34.4667,150.4167,62.01,78,3,1.01,clear sky
311,Port Macquarie,AU,-31.4333,152.9167,66.0,73,2,1.99,clear sky
312,Olinda,BR,-8.0089,-34.8553,73.4,88,40,2.3,scattered clouds
313,Omboue,GA,-1.5746,9.2618,79.09,84,98,4.45,overcast clouds
314,Palmer,US,42.1584,-72.3287,57.2,47,90,5.75,overcast clouds
315,Te Anau,NZ,-45.4167,167.7167,54.14,82,100,6.98,overcast clouds
316,Kalmunai,LK,7.4167,81.8167,79.32,79,100,2.86,overcast clouds
317,Sechura,PE,-5.5569,-80.8222,75.65,66,61,12.73,broken clouds
318,Marrakesh,MA,31.6315,-8.0083,66.2,59,0,4.61,clear sky
319,Eureka,US,40.8021,-124.1637,55.0,93,90,9.22,overcast clouds
320,Namibe,AO,-15.1961,12.1522,81.28,67,5,1.5,clear sky
321,Qaqortoq,GL,60.7167,-46.0333,30.2,34,40,3.44,scattered clouds
322,Cayenne,GF,4.9333,-52.3333,81.0,94,20,8.97,few clouds
323,Kushiro,JP,42.975,144.3747,48.2,71,40,8.05,scattered clouds
324,La Spezia,IT,44.1105,9.8434,53.01,53,86,8.03,overcast clouds
325,Sitka,US,57.0531,-135.33,66.2,26,1,11.5,clear sky
326,Ruteng,ID,-8.6136,120.4721,61.97,80,100,2.1,overcast clouds
327,Fairbanks,US,64.8378,-147.7164,60.8,20,20,4.61,few clouds
328,Longhua,CN,23.6137,114.1919,65.55,95,100,1.99,light rain
329,Kieta,PG,-6.2167,155.6333,84.52,67,54,3.69,broken clouds
330,Ambilobe,MG,-13.2,49.05,72.75,86,30,3.44,scattered clouds
331,Muroto,JP,33.2833,134.15,51.8,62,0,6.91,clear sky
332,Banda Aceh,ID,5.5577,95.3222,79.9,81,88,12.39,overcast clouds
333,Petatlan,MX,17.5167,-101.2667,82.4,61,75,6.78,broken clouds
334,Roald,NO,62.5833,6.1333,45.0,81,0,8.05,clear sky
335,Awjilah,LY,29.1081,21.2869,79.05,28,100,17.31,overcast clouds
336,Ust-Maya,RU,60.4167,134.5333,33.89,75,100,9.44,overcast clouds
337,Kamenskiy,RU,50.8855,45.488,49.55,77,99,4.54,overcast clouds
338,Yamaranguila,HN,14.2833,-88.25,69.8,78,75,2.46,broken clouds
339,Sechelt,CA,49.4664,-123.7694,66.99,55,20,1.14,few clouds
340,Santo Nino,PH,6.435,124.6975,77.07,81,100,1.54,overcast clouds
341,Tiksi,RU,71.6872,128.8694,8.78,86,100,12.15,overcast clouds
342,Batagay,RU,67.6333,134.6333,17.01,87,82,3.58,broken clouds
343,Birao,CF,10.2849,22.7882,80.17,11,64,6.15,broken clouds
344,Adrar,MR,20.5022,-10.0711,78.42,10,51,7.34,broken clouds
345,Urumqi,CN,43.801,87.6005,59.0,41,0,8.95,clear sky
346,Marsa Matruh,EG,31.3525,27.2453,77.0,29,75,8.05,broken clouds
347,Vitry-Le-Francois,FR,48.7333,4.5833,44.6,100,73,1.14,fog
348,Biak,ID,-0.9131,122.8766,74.95,85,100,6.67,overcast clouds
349,Vanimo,PG,-2.6741,141.3028,80.91,77,98,1.79,overcast clouds
